regMid,regEnd,Final,attendance,status
67,55,86,46,Summer course (low attendance)
76,89,17,87,Summer course (Final < 25)
86,24,9,53,Summer course (Final < 25)
85,49,7,74,Summer course (Final < 25)
51,2,18,55,Summer course (Final < 25)
88,80,68,100,Pass
89,79,47,41,Summer course (low attendance)
66,15,13,85,Summer course (Final < 25)
57,38,22,63,Summer course (Final < 25)
77,81,85,89,Pass
59,54,49,73,FX  (retake opportunity)
42,41,77,78,Summer course (low mid/end)
84,96,62,43,Summer course (low attendance)
31,31,63,81,Summer course (low mid/end)
17,30,5,67,Summer course (Final < 25)
59,64,64,100,Pass (after retake)
33,32,62,76,Summer course (low mid/end)
66,69,69,100,Pass (after retake)
71,63,58,95,Pass (after retake)
69,64,62,95,Pass (after retake)
61,49,93,46,Summer course (low attendance)
75,66,74,93,Pass
36,36,64,46,Summer course (low attendance)
44,87,6,80,Summer course (Final < 25)
54,73,63,46,Summer course (low attendance)
52,15,47,78,Summer course (low mid/end)
72,56,66,42,Summer course (low attendance)
62,71,64,74,Pass (after retake)
31,97,12,84,Summer course (Final < 25)
0,0,70,100,Summer course (low mid/end)
71,56,89,57,Summer course (low attendance)
55,53,52,67,FX  (retake opportunity)
43,20,48,96,Summer course (low mid/end)
75,74,70,46,Summer course (low attendance)
31,45,41,83,Fail (total < 50)
92,42,61,42,Summer course (low attendance)
42,13,2,86,Summer course (Final < 25)
79,73,58,56,Summer course (low attendance)
57,67,65,40,Summer course (low attendance)
71,58,67,86,Pass (after retake)
21,4,21,91,Summer course (Final < 25)
64,84,96,43,Summer course (low attendance)
4,51,5,96,Summer course (Final < 25)
53,56,48,58,FX  (retake opportunity)
59,25,21,100,Summer course (Final < 25)
98,75,73,47,Summer course (low attendance)
51,48,60,100,FX  (retake opportunity)
61,22,21,77,Summer course (Final < 25)
54,54,53,61,FX  (retake opportunity)
59,75,43,44,Summer course (low attendance)
72,89,3,96,Summer course (Final < 25)
87,42,19,91,Summer course (Final < 25)
72,100,0,78,Summer course (Final < 25)
6,45,49,82,Summer course (low mid/end)
58,62,58,71,Pass (after retake)
66,65,56,78,Pass (after retake)
36,90,20,73,Summer course (Final < 25)
94,79,42,44,Summer course (low attendance)
70,61,72,91,Pass (after retake)
48,45,53,98,FX  (retake opportunity)
65,63,63,79,Pass (after retake)
93,56,82,52,Summer course (low attendance)
16,72,12,59,Summer course (Final < 25)
66,100,10,74,Summer course (Final < 25)
72,67,68,80,Pass (after retake)
43,44,35,71,Fail (total < 50)
68,62,72,77,Pass (after retake)
30,31,5,68,Summer course (Final < 25)
68,88,9,54,Summer course (Final < 25)
79,63,45,58,Summer course (low attendance)
22,28,52,97,Summer course (low mid/end)
48,23,73,68,Summer course (low mid/end)
31,43,19,70,Summer course (Final < 25)
100,13,14,68,Summer course (Final < 25)
6,17,22,50,Fail (total < 45)
9,95,0,75,Summer course (Final < 25)
43,94,20,66,Summer course (Final < 25)
44,28,58,82,Summer course (low mid/end)
40,36,38,92,Fail (total < 50)
88,45,56,52,Summer course (low attendance)
56,94,69,55,Summer course (low attendance)
15,53,4,79,Summer course (Final < 25)
70,68,61,71,Pass (after retake)
70,0,13,92,Summer course (Final < 25)
47,78,62,40,Summer course (low attendance)
45,96,78,47,Summer course (low attendance)
83,81,14,53,Summer course (Final < 25)
29,42,64,74,Summer course (low mid/end)
36,34,34,71,Fail (total < 50)
67,64,65,87,Pass (after retake)
76,79,83,93,Pass
96,72,23,65,Summer course (Final < 25)
46,68,39,58,Summer course (low attendance)
91,36,20,67,Summer course (Final < 25)
89,78,91,51,Summer course (low attendance)
63,50,61,89,FX  (retake opportunity)
52,52,57,74,FX  (retake opportunity)
68,43,81,56,Summer course (low attendance)
26,45,39,56,Fail (total < 45)
91,22,10,90,Summer course (Final < 25)
81,67,54,50,Summer course (low attendance)
53,55,50,93,FX  (retake opportunity)
36,10,21,74,Summer course (Final < 25)
75,68,80,87,Pass
71,60,91,51,Summer course (low attendance)
71,61,75,45,Summer course (low attendance)
98,52,5,63,Summer course (Final < 25)
51,53,54,63,FX  (retake opportunity)
45,5,11,88,Summer course (Final < 25)
36,4,68,91,Summer course (low mid/end)
77,76,74,96,Pass
9,22,1,86,Summer course (Final < 25)
63,63,62,72,Pass (after retake)
54,57,53,74,FX  (retake opportunity)
81,28,0,77,Summer course (Final < 25)
43,38,25,79,Fail (total < 50)
43,50,93,46,Summer course (low attendance)
46,44,85,47,Summer course (low attendance)
32,40,39,89,Fail (total < 50)
90,69,4,56,Summer course (Final < 25)
55,56,51,74,FX  (retake opportunity)
56,57,58,96,FX  (retake opportunity)
61,58,59,67,FX  (retake opportunity)
21,15,52,100,Summer course (low mid/end)
38,40,43,96,Fail (total < 50)
43,49,41,89,Fail (total < 50)
38,33,34,71,Fail (total < 50)
35,54,19,53,Summer course (Final < 25)
46,95,47,47,Summer course (low attendance)
91,60,66,48,Summer course (low attendance)
31,13,60,93,Summer course (low mid/end)
10,23,54,86,Summer course (low mid/end)
51,65,14,71,Summer course (Final < 25)
68,57,71,69,Pass (after retake)
71,65,84,49,Summer course (low attendance)
46,47,55,86,FX  (retake opportunity)
0,11,26,87,Summer course (Final < 25)
28,23,74,94,Summer course (low mid/end)
4,23,75,99,Summer course (low mid/end)
28,24,66,79,Summer course (low mid/end)
43,41,65,74,Summer course (low mid/end)
98,88,52,49,Summer course (low attendance)
47,52,49,60,FX  (retake opportunity)
39,41,61,53,Summer course (low attendance)
56,55,54,94,FX  (retake opportunity)
74,24,19,94,Summer course (Final < 25)
11,40,54,84,Summer course (low mid/end)
41,4,74,94,Summer course (low mid/end)
50,54,52,94,FX  (retake opportunity)
11,21,75,76,Summer course (low mid/end)
69,78,74,49,Summer course (low attendance)
65,64,74,80,Pass (after retake)
37,30,18,57,Summer course (Final < 25)
38,34,35,95,Fail (total < 50)
27,30,42,78,Fail (total < 50)
50,61,62,58,FX  (retake opportunity)
79,76,77,47,Summer course (low attendance)
47,92,10,82,Summer course (Final < 25)
88,76,88,97,Pass
56,56,58,73,FX  (retake opportunity)
18,29,59,79,Summer course (low mid/end)
83,86,9,62,Summer course (Final < 25)
59,67,58,97,Pass (after retake)
35,12,60,94,Summer course (low mid/end)
27,17,59,77,Summer course (low mid/end)
16,13,33,54,Fail (total < 45)
67,59,57,97,Pass (after retake)
59,19,26,96,Summer course (Final < 25)
41,42,65,56,Summer course (low attendance)
37,40,33,74,Fail (total < 50)
36,61,6,95,Summer course (Final < 25)
59,73,68,89,Pass (after retake)
60,50,55,67,FX  (retake opportunity)
2,6,0,51,Summer course (Final < 25)
65,56,64,71,Pass (after retake)
53,56,54,67,FX  (retake opportunity)
58,72,65,97,Pass (after retake)
4,12,38,64,Fail (total < 45)
16,64,0,98,Summer course (Final < 25)
24,4,78,78,Summer course (low mid/end)
47,58,63,54,Summer course (low attendance)
10,49,20,91,Summer course (Final < 25)
